Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Total Penjualan,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person,Sales,Kode Sales,Nama Depan,Nama Belakang,#,SKU,Nama,Harga
Bambang,Satya,Satya@gmailx.com,Bogor,28-12-2018,KP0425CB,"Rp136,250,000",36897,5,N/A,Wakanda Express,Y,Ll-409,409,409,Husni,Kawano,1,KP0050AG,Aceh Gayo 50kg,"Rp16,250,000"
Rachmat,P.,Rachmat@icloudx.com,Banjar,28-12-2018,KP0925SG,"Rp45,000,000",35624,3,N/A,Wakanda Express,N,Do-409,409,983,Vidhya,Wiria,2,KP0150BH,Bali Honey 50kg,"Rp27,000,000"
Lie,Arsil,LIE@ymailx.com,Gorontalo,26-12-2018,KP0850FB,"Rp147,000,000",35745,7,N/A,JENT,Y,Bc-983,983,410,Sigit,Lawanto,3,KP0225BB,Breakfast Blend 25kg,"Rp10,000,000"
Jimmy,Hardono,Hardono@ymailx.com,Purwokerto,25-12-2018,KP0750AJ,"Rp162,000,000",35432,9,N/A,Cepat Kirim,Y,Ng-410,410,123,Erwin,Denny,4,KP0350CF,Colombie Finest Blend 50kg,"Rp35,000,000"
Sudjono,Hirawan,Hirawan@rocketmailx.com,Pasuruan,24-12-2018,KP0925SG,"Rp105,000,000",35012,7,N/A,JENT,N,Ae-123,123,994,"Herman,",Widjata,5,KP0425CB,Congo Blue Blend 25kg,"Rp27,250,000"
Ari,Shahab,Ari@ymailx.com,Tarakan,23-12-2018,KP0625AF,"Rp96,000,000",35226,8,N/A,Wakanda Express,Y,Kn-994,994,992,Steven,Wijaya,6,KP0550EH,Elsavador High 50kg,"Rp45,000,000"
Indawan,Arsyafira,Arsyafira@ymailx.com,Palangkaraya,22-12-2018,KP0850FB,"Rp42,000,000",36614,2,N/A,JENT,Y,Tf-992,992,500,Damsiruddin,Handoko,7,KP0625AF,Arabica Flores 25kg,"Rp12,000,000"
Jayanti,F.,F.@gmailx.com,Tangerang Selatan,20-12-2018,KP0350CF,"Rp140,000,000",36600,4,N/A,Wakanda Express,Y,Sn-500,500,662,Sonya,Williem,8,KP0750AJ,Arabica Java 50kg,"Rp18,000,000"
Monalita,Hermawan,Monalita@icloudx.com,Padang Sidempuan,19-12-2018,KP0925SG,"Rp90,000,000",36249,6,4,Wakanda Express,Y,Yl-662,662,661,Anindya,Mohanlal,9,KP0850FB,Flores Blend 50kg,"Rp21,000,000"
Franky,Investama,Franky@gmailx.com,Mojokerto,17-12-2018,KP0925SG,"Rp90,000,000",35442,6,N/A,Cepat Kirim,Y,Ta-123,123,991,Justo,Noegroho,10,KP0925SG,Sidikalang Gold Blend 25kg,"Rp15,000,000"
Lily,Holdings,Holdings@rocketmailx.com,Lubuklinggau,17-12-2018,KP0050AG,"Rp162,500,000",35978,10,N/A,Swift Delivery,Y,Yp-661,661,990,Budi,William,,,,
Dadi,Siddharta,Siddharta@outlookx.com,Banjarbaru,16-12-2018,KP0925SG,"Rp135,000,000",36047,9,N/A,JENT,Y,Ka-991,991,559,Rony,Idris,,,,
Benny,Atmadja,Benny@outlookx.com,Jayapura,15-12-2018,KP0350CF,"Rp280,000,000",36446,8,N/A,JENT,Y,Tr-990,990,101,Kristanto,Susanto,,,,
Djoni,Hadisurjo,Hadisurjo@icloudx.com,Payakumbuh,14-12-2018,KP0350CF,"Rp140,000,000",35398,4,N/A,Wakanda Express,Y,Ze-559,559,993,Lili,Heryati,,,,
John,Sukarso,Sukarso@gmailx.com,Semarang,12-11-2018,KP0150BH,"Rp216,000,000",35392,8,N/A,JENT,Y,Ua-410,410,201,Jackson,Babra,,,,
David,Mellon,Mellon@livex.com,Sabang,12-11-2018,KP0350CF,"Rp105,000,000",35204,3,N/A,Wakanda Express,Y,Hi-101,101,809,Ng,Joh,,,,
Kimberly,Natalia,Natalia@ymailx.com,Langsa,12-11-2018,KP0625AF,"Rp24,000,000",35810,2,N/A,Cepat Kirim,Y,Cs-101,101,222,Anna,Kahar,,,,
Letty,Tamin,Letty@rocketmailx.com,Samarinda,12-11-2018,KP0425CB,"Rp272,500,000",35809,10,N/A,JENT,Y,Ld-993,993,150,Nazamudin,Esther,,,,
Lucas,Barak,Lucas@ymailx.com,Denpasar,12-10-2018,KP0225BB,"Rp100,000,000",36192,10,N/A,Pru Logistic,Y,Wi-201,201,880,Faizan,Naraindas,,,,
Gunawan,Sukanda,Gunawan@gmailx.com,Pagaralam,12-10-2018,KP0625AF,"Rp84,000,000",35490,7,4,Wakanda Express,Y,Hg-661,661,290,Hashim,Winoto,,,,
Lanny,Kongoasa,Kongoasa@mex.com,Tanjungpinang,12-09-2018,KP0850FB,"Rp63,000,000",35081,3,N/A,Swift Delivery,Y,Na-809,809,160,Sukmawati,Hai,,,,
Sherlly,Kusumawati,Sherlly@gmailx.com,Malang,12-09-2018,KP0350CF,"Rp140,000,000",36357,4,4,Wakanda Express,N,Uc-123,123,221,K.,Vicky,,,,
Nia,Husein,Nia@outlookx.com,Banda Aceh,12-09-2018,KP0925SG,"Rp60,000,000",35933,4,N/A,Wakanda Express,N,Dg-101,101,185,Maxymilian,Cahyaningtyas,,,,
Budi,T.,T.@ymailx.com,Probolinggo,12-07-2018,KP0625AF,"Rp108,000,000",35268,9,3,Pru Logistic,Y,By-123,123,171,Mirah,Padilla,,,,
Mohammad,Soniati,Soniati@icloudx.com,Dumai,12-05-2018,KP0050AG,"Rp81,250,000",35273,5,N/A,Pru Logistic,Y,Ek-222,222,280,Medina,Wardhana,,,,
Dani,Suginawan,Suginawan@ymailx.com,Bandar Lampung,12-05-2018,KP0750AJ,"Rp162,000,000",36154,9,N/A,Cepat Kirim,Y,An-150,150,183,Agam,Wardhana,,,,
Nurdin,Hiong,Hiong@rocketmailx.com,Meulaboh,12-04-2018,KP0350CF,"Rp105,000,000",36728,3,4,JENT,N,Fi-101,101,999,Prayugi,Cornwallis,,,,
Erly,Tamin,Tamin@gmailx.com,Medan,12-04-2018,KP0850FB,"Rp105,000,000",36638,5,N/A,Swift Delivery,Y,Wd-662,662,250,Djie,Bhansali,,,,
Roy,Mei,Roy@livex.com,Pontianak,12-03-2018,KP0150BH,"Rp54,000,000",35551,2,2,JENT,N,Jr-880,880,333,Psp,Management,,,,
Junus,Amiria,Junus@gmailx.com,Banjarbaru,12-03-2018,KP0925SG,"Rp120,000,000",36956,8,N/A,Cepat Kirim,Y,Jg-991,991,300,Rini,Wirjawan,,,,
